Subject,Condition,ConsistentAxis,AxisChoice,ChoiceDetailed,ConsistentAxialDirection,AxialDirectionDetailed,AxialDirectionHorizontal,AxialDirectionVertical,ConsistentRoundDirection,RoundDirectionDetailed,SameAxis
S14,V,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S15,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S15,T,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S15,V,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S16,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S16,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S16,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S18,N,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S18,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S18,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S19,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S19,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S19,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,yes
S19,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S2,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S2,Q,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S2,T,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S20,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S20,Q,no,NA,round,NA,NA,NA,NA,yes,CCW,no
S20,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S20,V,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S21,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S21,T,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S21,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S22,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S22,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S22,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S24,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S24,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S24,T,no,NA,round,NA,NA,NA,NA,yes,CW,no
S24,V,no,diagonal,predominantly_diagonal,NA,NA,NA,NA,NA,NA,no
S25,N,no,vertical,predominantly_vertical,NA,NA,NA,NA,NA,NA,no
S25,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S25,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S25,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S26,N,no,NA,round,NA,NA,NA,NA,no,NA,no
S26,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S26,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S27,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S27,Q,no,NA,round,NA,NA,NA,NA,yes,CW,no
S27,T,no,NA,round,NA,NA,NA,NA,no,NA,no
S27,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S28,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,V,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,no
S29,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S29,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S29,T,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S29,V,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S3,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
S3,T,no,NA,round,NA,NA,NA,NA,yes,CW,no
S3,V,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S30,N,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S30,Q,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S30,V,yes,diagonal,diagonal,no,NA,NA,NA,NA,NA,no
S31,N,yes,horizontal,horizontal,yes,left-to-right,left-to-right,NA,NA,NA,no
S31,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S31,T,yes,vertical,vertical,yes,up-to-down,NA,up-to-down,NA,NA,no
S31,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S32,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S32,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S32,T,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S33,N,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S33,Q,yes,vertical,vertical,yes,down-to-up,NA,down-to-up,NA,NA,yes
S33,T,yes,horizontal,horizontal,no,NA,NA,NA,NA,NA,yes
S33,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,yes
S34,N,no,NA,no_pattern,NA,NA,NA,NA,NA,NA,no
S34,Q,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S34,V,yes,vertical,vertical,no,NA,NA,NA,NA,NA,no
S35,N,no,NA,round,NA,NA,NA,NA,yes,CW,no
S35,Q,no,NA,round,NA,NA,NA,NA,no,NA,no
